name,X scale,Y scale,backArm,legs,body,head,frontArm,eyes,nose,mouth,ears,facialHair,FacialDetail,hair,OtherBodyParts,SkinColor,HairColor,EyeColor,FacialDetailColor,ItemRestrictions,SkinVariance,
stone golem,1.4,1.4,0001-016,0001-037,0001-038,0017-082,0001-102,f01-0001-084,,,,,0017-087,,,d8d9da 9d9b90 6d6e71 8b9295 b1c0c9,default,default,default,hd01 hd02 hd03 hd04 hd05 hd06 hd07 hd08 hd09 hd10 hd11 hd12 hd13 tr01 tr02 tr03 tr04 tr05 tr06 tr07 tr08 tr09 tr11 tr12 tr13,,
goblin,1,1,0001-016,0001-037,0001-038,0001-082,0001-102,f01,0018-086,0018-085,0018-100,,f06,,,2a421c 99af74 6d7a34 5e6546 57744b 9d9b90 887f41 666a48 34381a 7a6946 5d6a2f,default,default,default,hd01 hd02 hd03 hd04 hd05 hd06 hd07 hd08 hd09 hd10 hd11 hd12 hd13,85 ffffff,
ogre,1.2,1.2,0001-016,0001-037,0001-038,0019-082,0001-102,0019-084,0019-086,0019-085,,,0019-087,,,2a421c 99af74 6d7a34 5e6546 57744b 9d9b90 887f41 666a48 34381a 7a6946 5d6a2f,default,default,default,hd01 hd02 hd03 hd04 hd05 hd06 hd07 hd08 hd09 hd10 hd11 hd12 hd13,85 ffffff,
cyclops ogre,1.2,1.2,0001-016,0001-037,0001-038,0020-082,0001-102,0020-084,0020-086,0020-085,,,0020-087,,,2a421c 99af74 6d7a34 5e6546 57744b 9d9b90 887f41 666a48 34381a 7a6946 5d6a2f 4d323f 895881 486c76,default,default,default,hd01 hd02 hd03 hd04 hd05 hd06 hd07 hd08 hd09 hd10 hd11 hd12 hd13,85 ffffff,
bridge troll,1.3,1.3,0001-016,0001-037,0001-038,0021-082,0001-102,0021-084,0021-086,0021-085,0021-100,,0021-087,,,2a421c 99af74 6d7a34 5e6546 57744b 9d9b90 887f41 666a48 34381a 7a6946 5d6a2f,default,default,default,hd01 hd02 hd03 hd04 hd05 hd06 hd07 hd08 hd09 hd10 hd11 hd12 hd14,85 ffffff,
kobold,1,1,0001-016,0001-037,0001-038,0022-082,0001-102,f01,0022-086,0022-085,0022-100,,0022-087,,0022-123,human,default,default,default,,,
war orc,1,1,0001-016,0001-037,0001-038,0023-082,0001-102,0023-084,0023-086,0023-085,0023-100,,0023-087,,,human,default,default,default,,85 FFFFFF FBF6E1 D0D1D3 C7CACB,
vampire,1,1,0001-016,0001-037,0001-038,0024-082,0001-102,f01,f02,0024-085,f04,,0024-087,h01 h02 h03 h04,,human,default,default,default,,85 FFFFFF FBF6E1 D0D1D3 C7CACB,
minor devil,1,1,0001-016,0001-037,0001-038,0025-082,0001-102,f01,0025-086,0025-085,0025-100,,0025-087,,0025-004 0025-134,8b4e2e a64224 a43223 c95237 a54122 82482b 84161e 834830 7e4227 854529 d96427 804633 76595b,default,default,default,,85 134 FFFFFF FBF6E1 D0D1D3 C7CACB,
centaur,1,1,0001-016,0026-037,0001-038,0001-082,0001-102,f01,f02,f03,f04,f05,f06,h01 h02 h03 h04,,human,default,default,default,lg01 lg02 tr05 tr06 fe01 fe02,37 F3D9C2 746C5B 233320 485232,
